Short Description,regex,Attempt Regex,ChatGPT Output
Every b followed by two or more a's,(a|baa)*,(baa*|a*)*,"positive example: [""baa"", ""a"", ""baaa"", ""aa"", ""baaabaa"", ""aaaa""], negative example: [""b"", ""bb"", ""ab"", ""ba"", ""bab"", ""bba""]"
even prefix,(ab|ba)*,((ab)*(ba)*)*|abb*ba,"positive example: [ab, ba, abba, ababba, abbaba, abbabba, abb, abbbba], negative example: [a, b, aba, bba, abab, baba, abbba, ababab]"
Odd number of b's,(a*ba*b)*a*ba*,(a|(ab)*b)+(ba)*,"positive example: [a, ab, abb, abbb, aba, abba, abbba, abab, ababb, ababba], negative example: [b, aa, aab, aabb, bab, baba, baab, bba, bbaa, bbb]"
even prefix,(ab|ba)*,(ab|ba)*(aa|bb|ba|ab)*,"positive example: [abba, baaa, abab, baba, aabb, bbaa], negative example: [a, b, aba, bab, abbb, baaaab]"
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,(a+)*b*a*,"positive example: [ ""ab"", ""aab"", ""aaab"", ""b"", ""bb"", ""a"", ""aa"", ""aabaa"", ""abba"", ""aaaab"" ], negative example: [ ""c"", ""ac"", ""bc"", ""abc"", ""aac"", ""bac"", ""aabbc"", ""abca"", ""aabca"", ""abac"" ]"
At least one a followed by one b,a+b,(a)*(b)*,"positive example: [a, b, aa, bb, aab, abb, aabb], negative example: [abab, ba, aba, bba, abba]"
first and third,a(a|b)a(a|b)*,a+(a|b)+a+(a|b)*,"positive example: [""aaaa"", ""aabaa"", ""aaaab"", ""aabab"", ""aaaaa""],  
negative example: [""a"", ""aa"", ""ab"", ""ba"", ""bba""]"
A valid comment (Sipser 1.22b),/#(/|a|b|##*(a|b))*##*/,(/#((a|b|/)*#*)*#/)*,"positive example: [""#a#"", ""#b#"", ""#/#"", ""#ab#"", ""#a/#"", ""#b/#"", ""#a/b#"", ""#a#b#"", ""#a#/#"", ""#a##b#"", ""#a##/#"", ""#a##b##/#"", ""###a#"", ""###b#"", ""###/#"", ""###ab#"", ""###a/#"", ""###b/#"", ""###a/b#"", ""###a#b#"", ""###a#/#"", ""###a##b#"", ""###a##/#"", ""###a##b##/#""],  
negative example: [""a"", ""b"", ""/"", ""ab"", ""a/b"", ""a#b"", ""a/#"", ""b/#"", ""a#b#"", ""a##b"", ""a##/#"", ""a##b##"", ""###"", ""####"", ""#####"", ""#a"", ""#b"", ""#/"", ""#ab"", ""#a/"", ""#b/"", ""#a/b"", ""#a#b"", ""#a#/"", ""#a##b"", ""#a##/"", ""#a##b##""]"
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),(0(0*|(0*1+0+))*|1(1*|1*0+1+)*)?,"positive example: [""0"", ""1"", ""00"", ""01"", ""10"", ""11"", ""000"", ""001"", ""010"", ""011"", ""100"", ""101"", ""110"", ""111"", ""0000"", ""0001"", ""0010"", ""0011"", ""0100"", ""0101"", ""0110"", ""0111"", ""1000"", ""1001"", ""1010"", ""1011"", ""1100"", ""1101"", ""1110"", ""1111""],  
negative example: [""2"", ""a"", ""b"", ""00a"", ""01b"", ""10c"", ""11d"", ""0002"", ""001a"", ""010b"", ""011c"", ""100d"", ""101e"", ""110f"", ""111g""]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0*)|(1*)|((0+1+)*(0+1+0+)*)|((1+0+)*(1+0+1+)*),"positive example: ["""", ""0"", ""1"", ""00"", ""11"", ""01"", ""10"", ""000"", ""111"", ""010"", ""101"", ""0011"", ""1100"", ""0110"", ""1001"", ""00110"", ""11001"", ""011001"", ""100110""],  
negative example: [""01"", ""10"", ""001"", ""110"", ""0101"", ""1010"", ""00110"", ""11001"", ""011001"", ""100110""]"
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,(((a+)|b+a*))*,"positive example: [a, aa, b, ba, aaa, aba, baa, aaba, baaa, aabaa],  
negative example: [c, abab, abc, aab, bbb, aabb, abac, bca, aabca, bbaa]"
At least one a followed by one b,a+b,(a+)*(b),"positive example: [ab, aab, aaab, b], negative example: [a, ba, aba, aaba]"
At least one a followed by one b,a+b,a(a*b*)*b,"positive example: [aab, ab, aaab, aabb, aabbb], negative example: [ba, aba, aaa, bbb, abab]"
even prefix,(ab|ba)*,(a*|b*)*(aa|ab|ba|bb)*,"positive example: [""a"", ""b"", ""aa"", ""ab"", ""ba"", ""bb"", ""aaa"", ""aab"", ""aba"", ""abb"", ""baa"", ""bab"", ""bba"", ""bbb"", ""aaaa"", ""aaab"", ""aaba"", ""aabb"", ""abaa"", ""abab"", ""abba"", ""abbb"", ""baaa"", ""baab"", ""baba"", ""babb"", ""bbaa"", ""bbab"", ""bbba"", ""bbbb""],  
negative example: [""c"", ""ac"", ""bc"", ""ca"", ""cb"", ""abc"", ""bac"", ""cab"", ""cba"", ""aac"", ""bbc"", ""abac"", ""babc"", ""cbaa"", ""cc""]"
Odd number of b's,(a*ba*b)*a*ba*,(a*)+b+((a*)|(b+(a*)+b))+(a*),"positive example: [""ab"", ""aab"", ""aaab"", ""abb"", ""aabb"", ""aaabb"", ""abab"", ""aabab"", ""aaabab"", ""abbb"", ""aabbb"", ""aaabbb""],  
negative example: [""a"", ""b"", ""ba"", ""aba"", ""baa"", ""bab"", ""bba"", ""bbaa"", ""baba"", ""abba"", ""aaba""]"
Length 2 and 3,(0|1)(0|1)|(0|1)(0|1)(0|1),(0|1)(0|1)?(0|1)?,"positive example: [0, 1, 00, 01, 10, 11, 000, 001, 010, 011, 100, 101, 110, 111],  
negative example: [0000, 0001, 0010, 0011, 0100, 0101, 0110, 0111, 1000, 1001, 1010, 1011, 1100, 1101, 1110, 1111]"
even prefix,(ab|ba)*,((ab)|(ba))*(aa|ab|ba|bb)*,"positive example: [ab, ba, abba, aabb, baba, abab, aabbaa, bbaabb],  
negative example: [a, b, aaab, bbba, abaab, babba, abbaa, bbaab]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(ab|aa|ba|bb)*(aaa)*,"positive example: [ab, aa, ba, bb, aaa, abaa, bbaaa, aabbaaa], negative example: [a, b, aba, baa, aab, bbb, ababab, bbaaab]"
even prefix,(ab|ba)*,(ab|ba)*|(aa|ab|bb)*,"positive example: [ab, ba, abab, baba, aa, bb, aabb, abba], negative example: [a, b, aba, bab, aaa, bbb, abb, baa]"
At least one a followed by one b,a+b,(a)*b,"positive example: [b, ab, aab, aaab], negative example: [a, ba, aba, aaa]"
At least one a followed by one b,a+b,(a*b{1}),"positive example: [ab, aab, aaab, b], negative example: [abb, aabb, a, bbb, aa]"
Odd number of b's,(a*ba*b)*a*ba*,(a*(b|bbb)*)*,"positive example: ["""", ""a"", ""b"", ""ab"", ""aab"", ""bbb"", ""abbb"", ""aabbb"", ""aaabbb"", ""abab"", ""aabab"", ""aaabab"", ""abbbab"", ""aabbbab"", ""aaabbbab""],  
negative example: [""c"", ""ac"", ""bc"", ""abc"", ""aabc"", ""bbbc"", ""abbbc"", ""aabbbc"", ""aaabbbc"", ""ababc"", ""aababc"", ""aaababc"", ""abbbabc"", ""aabbbabc"", ""aaabbbabc""]"
Odd number of b's,(a*ba*b)*a*ba*,b|(bb*|a*|bab*)*,"positive example: [b, bb, a, bab, bba, aa, bbab, bbb, aba, baba], negative example: [c, bc, abca, bbaa, ab, bca, aab, bbac, bbaa, abab]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,"[ab]{2,}","positive example: [aa, ab, ba, bb, aaa, aba, bba, aab, abb, bbb, aaaa, abab, bbbb],  
negative example: [a, b, , aabab, ababab, bbabab]"
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),((a|b)(a|bb|ba(a|b))*(b|ba))?,"positive example: [a, b, ab, ba, bba, aba, baba, abba, bab, baab, bbab, abab, abbaa, babab],  
negative example: [aa, bb, aaa, bbb, aab, baa, abb, bbaa, aabb, bbba, abbb, baaa, aaab, bbaaa]"
Three Choices (Regex),001|1010|110,(0|1)*(01)*(0|1)*,"positive example: [0101, 0011, 101010, 000101, 11101], negative example: [0110, 1001, 1100, 0010, 1011]"
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),((10*)*1+)*|((01*)*0+)*,"positive example: [""101"", ""1101"", ""10101"", ""010"", ""0010"", ""01010""], negative example: [""11"", ""00"", ""1010"", ""0101"", ""111"", ""000""]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a*|b*)+(a*|b*)+aaa+,"positive example: [""aaaaa"", ""bbbaaa"", ""abbaaa"", ""aaa"", ""baaa""], negative example: [""ab"", ""ba"", ""aab"", ""bba"", ""abab""]"
first and third,a(a|b)a(a|b)*,a(a|b)(a|b)*,"positive example: [aaa, aba, aab, abba, aaba], negative example: [a, b, aa, ab, ba]"
even prefix,(ab|ba)*,((ab)*(a|b)(a|b)|(ba)*(a|b)(a|b))*,"positive example: [abab, baba, abba, baab, ababab, bababa, ababba, baabab, aabb, bbaa],  
negative example: [aa, bb, a, b, aba, bab, abbba, baaab, abababa, babaab]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a*b*)*a*a*a,"positive example: [aaa, aabbaaa, bbaaa, aabbbaaa, aaa],  
negative example: [bb, abab, aabba, bbba, aabbaa]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)+(a|b)*aaa,"positive example: [abaaa, baaaa, aabaaa, bbaaaa], negative example: [aa, bb, aab, bba, abba]"
Odd number of b's,(a*ba*b)*a*ba*,((a|b)*|(a|bb)*)*b((a|bb)*|(a|b)*),"positive example: [ab, b, abb, bba, bbb, abab, abba, baba, bbbb, abbb, aabba],  
negative example: [a, aa, aaa, aaaa, aba, bab, baa, baaa, abaa, baab, aabb]"
even prefix,(ab|ba)*,(ab|ba)*(ab|ba|aa|ab)*,"positive example: [ab, ba, abab, baba, abba, baab, abaa, baaa, ababab, bababa], negative example: [a, b, aa, bb, aab, bba, aaa, bbb, abbb, baaa]"
A valid comment (Sipser 1.22b),/#(/|a|b|##*(a|b))*##*/,(/#((a|b|/)#*)*#/)*,"positive example: [""/#a#/"", ""/#b#/"", ""/#/#/"", ""/#a#b#/"", ""/#a#/#b#/"", ""/#a#b#/#/"", ""/#a#/#/#b#/"", ""/#a#b#/#/#/"", ""/#a#/#/#/#b#/"", ""/#a#b#/#/#/#/""],  
negative example: [""/a#/"", ""/b#/"", ""/#a/"", ""/#b/"", ""/#/"", ""/##/"", ""/#a##/"", ""/#b##/"", ""/#/#a/"", ""/#/#b/""]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0*(01*0*)*|1*(10*1*)*,"positive example: [""0"", ""1"", ""00"", ""11"", ""010"", ""101"", ""0000"", ""1111"", ""01010"", ""10101""],  
negative example: [""01"", ""10"", ""011"", ""100"", ""0011"", ""1100"", ""0101"", ""1010"", ""0110"", ""1001""]"
even prefix,(ab|ba)*,(a|b)*(a|b)*,"positive example: [a, b, aa, ab, ba, bb, aab, aba, bba, abab], negative example: [c, ac, bc, abc, aac, bbc, abca, abcb]"
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),(0?)|1|(0(0|1)*0)|(1(0|1)*1),"positive example: ["""", ""0"", ""1"", ""00"", ""11"", ""010"", ""101"", ""0000"", ""1111"", ""0110"", ""1001""],  
negative example: [""01"", ""10"", ""001"", ""110"", ""0001"", ""1110"", ""0101"", ""1010""]"
Every b followed by two or more a's,(a|baa)*,(a|b|baa+)*,"positive example: [a, b, baa, baaa, abaa, baaab, baaaaa, aabaa, baaabaa], negative example: [aa, bb, aba, baba, baaaab, baaaba, abab, baaaabaa]"
even prefix,(ab|ba)*,(ab|ba|aabb|bbaa)*(aa|ab|ba|bb)*,"positive example: [abaa, baaa, aabbaa, bbaaab, abba, aabb, bbaa, aaab, bbaaabba], negative example: [abaab, baaab, aabbb, bbaaa, abbb, aab, bba, a, b]"
At least one a followed by one b,a+b,[a]*b,"positive example:[b, ab, aab, aaab], negative example:[a, ba, aba, aaba]"
Odd number of 1s,0*10*(10*10*)*,(0*10*)*0*10*,"positive example: [""0"", ""1"", ""010"", ""00100"", ""1010"", ""0001000""],  
negative example: [""11"", ""00"", ""0101"", ""1001"", ""1100"", ""0000""]"
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,0*|0(0*1*)*0,"positive example: [0, 00, 000, 01, 001, 0001, 010, 0010, 00010],  
negative example: [1, 10, 11, 101, 110, 111, 100, 1100, 1010]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,[ab]*a{3},"positive example: [aaa, aaaaa, bbaaa, ababaaa, bbbaaa], negative example: [aa, aba, bbba, abab, bbbab]"
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,((a*)|(b+a*))*,"positive example: [a, aa, b, ba, aab, baa, aaba, baaa, ab, aabba, bbaa], negative example: [c, ac, bc, abc, aac, bbc, aabbc, bbaac]"
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a*|b*|baa)+b+,"positive example: [ab, baaab, bbb, aab, baab], negative example: [a, b, aba, baaa, aaab]"
Length 2 and 3,(0|1)(0|1)|(0|1)(0|1)(0|1),[01]*[10]*,"positive example: [0, 1, 01, 10, 0011, 1100, 000111, 111000], negative example: [011, 100, 0101, 1010, 00110, 11001]"
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,((a)+|b+a*)*,"positive example: [""a"", ""aa"", ""ba"", ""baa"", ""aba"", ""aab"", ""bb"", ""bba"", ""aabaa"", ""baba""],  
negative example: [""b"", ""c"", ""ab"", ""abc"", ""bac"", ""aac"", ""bbca"", ""aabbc"", ""bcaa"", ""abab""]"
contains 'bab',(a|b)*(bab)(a|b)*,(a|b|bab)*(bab)*,"positive example: [ ""bab"", ""abab"", ""aabab"", ""bbab"", ""babaabab"", ""bababab"" ],  
negative example: [ ""ba"", ""aba"", ""aaba"", ""bbba"", ""abba"", ""baaab"" ]"
At least one a followed by one b,a+b,(a*)(b{1}),"positive example: [ab, aab, aaab, b], negative example: [ba, a, bb, aaaa]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(aa|ab|ba|bb)*(a|b)*(aaa),"positive example: [aaabaaa, bbaaaa, abbaaa, aabbaaa, bbbaaa], negative example: [aa, ab, ba, bb, aaa, aaba, baba, abab, bbba]"
Odd number of 1s,0*10*(10*10*)*,(0|1)*,"positive example: [0, 1, 01, 10, 000, 111, 0101, 1010], negative example: [2, 00a, 1b1, abc, 0112, 110a]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,((a|b)|(b|a))(a|b)*(a)(a)(a)(a*),"positive example: [baaaaa, aaaaa, baaaaa, aaaaaa, baaaaaa], negative example: [ab, baa, a, b, aabaa]"
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,aa*|(a?|b)*(a|b?)*,"positive example: [""a"", ""aa"", ""aaa"", ""b"", ""ab"", ""ba"", ""aab"", ""bba"", ""aabb"", ""baba""],  
negative example: [""c"", ""ac"", ""cb"", ""abc"", ""bac"", ""aacb"", ""bbca"", ""abca"", ""bacb""]"
At least one a followed by one b,a+b,a(a|b)*b,"positive example: [ab, aab, abb, aaab, abbb, aabb], negative example: [a, b, aa, bb, aba, baa]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1|0|(1+(0*1*)*1+)*|(0+(1*0*)*0+)*)*,"positive example: [""1"", ""0"", ""10"", ""01"", ""110"", ""001"", ""1010"", ""0101"", ""111000"", ""000111"", ""101010"", ""010101"", ""11001100"", ""00110011"", ""11110000"", ""00001111""],  
negative example: [""2"", ""a"", ""11a"", ""00b"", ""1c0"", ""01d"", ""101e"", ""010f"", ""111g000"", ""000h111"", ""1010i"", ""0101j"", ""1100k1100"", ""0011l0011"", ""1111m0000"", ""0000n1111""]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)(a|b)*(aaa)(a)*,"positive example: [baaaa, aaaaaa, bbaaaa, abaaaa, aabaaa], negative example: [ab, ba, aab, bba, aaa]"
even prefix,(ab|ba)*,(ab|ba)*|(aa|bb)*,"positive example: [ab, ba, abab, baba, aa, bb, aaaa, bbbb, abba, baab], negative example: [a, b, aba, bab, abb, baa, aab, bba, aabb, abbb]"
Odd number of b's,(a*ba*b)*a*ba*,a*b+(a*|(b(a*)b))+a*,"positive example: [""aaabbba"", ""baaab"", ""bbbaaa"", ""ababba"", ""aabbaa""], negative example: [""abab"", ""ba"", ""aab"", ""bba"", ""ababa""]"
even prefix,(ab|ba)*,(aa|bb)|(ab|ba)*,"positive example: [aa, bb, ab, ba, abab, baba, abba, baab],  
negative example: [a, b, aba, bab, aab, bba, aaa, bbb]"
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),(((0+1*)*0+)*|((1+0*)*1+)*)*,"positive example: [""0"", ""1"", ""00"", ""01"", ""10"", ""11"", ""000"", ""001"", ""010"", ""011"", ""100"", ""101"", ""110"", ""111"", ""0000"", ""0001"", ""0010"", ""0011"", ""0100"", ""0101"", ""0110"", ""0111"", ""1000"", ""1001"", ""1010"", ""1011"", ""1100"", ""1101"", ""1110"", ""1111""],  
negative example: [""2"", ""a"", ""b"", ""01a"", ""10b"", ""0c1"", ""1d0"", ""e00"", ""f11"", ""0g01"", ""1h10""]"
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,((a+)|a*b+a*)*,"positive example: [""a"", ""aa"", ""aba"", ""aabba"", ""aaaabbaa"", ""abababa"", ""bba"", ""bbaa"", ""aabbaa""],  
negative example: [""b"", ""bb"", ""bab"", ""abab"", ""baab"", ""abbaaab"", ""abababab"", ""aaabbb"", ""bbbaaa""]"
Odd number of 1s,0*10*(10*10*)*,0*(11)*1(0|1)*,"positive example: [0, 11, 011, 110, 1110, 00111, 01101, 11110], negative example: [1, 01, 10, 101, 1001, 0101, 1010, 10001]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,"(a|b)*a{3,}","positive example: [aaa, aaaaa, baaa, abbaaa, bbaaaa], negative example: [a, aa, ab, bba, abab]"
even prefix,(ab|ba)*,(ab)*(aa|ab|ba|bb)*,"positive example: [ab, abab, aa, abaa, bba, abba, ababaa, abbb], negative example: [a, b, aba, baa, aab, bab, ababa, abbba]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,[ba]*aaa,"positive example: [baaaa, bbaaaa, aaaa, bbbaaaa], negative example: [baa, bbaa, aa, bbbaa]"
non isolated 'b',(a|(b*bb))*,(a|b)*bb(a|b?)*|a*,"positive example: [bb, abb, bba, aabba, bbb, abba], negative example: [a, b, aba, baa, abab, baba]"
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,(a*)(b*)(a*),"positive example: [""aaa"", ""bb"", ""aabba"", ""b"", ""aaabbba""], negative example: [""aba"", ""abab"", ""baa"", ""aabab"", ""baba""]"
even number of 1's,0*(10*1)*0*,(0*10*10*)*|0*,"positive example: [""0"", ""010"", ""1010"", ""01010"", ""0101010"", ""00"", ""000"", ""0000""],  
negative example: [""1"", ""11"", ""110"", ""101"", ""1001"", ""0101"", ""10101"", ""111""]"
Length 1 or More,(0|1)(0|1)*,(0|1)*,"positive example: [""0"", ""1"", ""01"", ""10"", ""001"", ""110"", ""0000"", ""1111"", ""0101"", ""1010""],  
negative example: [""2"", ""a"", ""01a"", ""10b"", ""0012"", ""110c"", ""0000d"", ""1111e"", ""0101f"", ""1010g""]"
Odd number of b's,(a*ba*b)*a*ba*,(a|(ab)*b)*(ba)*,"positive example: [ab, abab, ababb, baba, abababba, ababba, ababababba], negative example: [aab, abb, baa, abababa, ababab, baaa]"
Does not contain aba as a substring,b*a*b*|(a*bb+a*)*,(b|aa*bb)*((aa*(b?))?),"positive example: [""b"", ""aa"", ""bb"", ""aab"", ""aaab"", ""bbb"", ""aaabb"", ""baaab"", ""baaabb""], negative example: [""a"", ""ab"", ""aba"", ""aaba"", ""ba"", ""bab"", ""baa"", ""bbba""]"
Odd number of b's,(a*ba*b)*a*ba*,((a*|a*ba*(ba*ba*)*a*)|b),"positive example: [a, aa, b, ab, ba, aab, aba, baa, aaba, abaa, baaa, aabaa, abaab, baaaa, aabaab, abaaba, baaaaa],  
negative example: [bb, aabba, abab, baba, aaabbb, ababab, bababa, aababab, abababa, bababab]"
non isolated 'b',(a|(b*bb))*,(a|b*b)*,"positive example: [a, b, ab, ba, bbb, abab, bbaa, aabbb, bbbab], negative example: [c, ac, bc, abc, bca, aac, bbc, abca, bbbaac]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((01*0*)|(10*1*))*,"positive example: [""010"", ""1001"", ""1010"", ""01010"", ""100101""], negative example: [""0"", ""1"", ""011"", ""110"", ""0011""]"
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),1*(0+1+)*|0*(1+0+)*,"positive example: [""1"", ""0"", ""10"", ""01"", ""110"", ""001"", ""1110"", ""0001"", ""1010"", ""0101""],  
negative example: [""2"", ""a"", ""11a"", ""0b1"", ""1012"", ""01a0"", ""1+0"", ""0*1"", ""10+"", ""01*""]"
Odd number of 1s,0*10*(10*10*)*,(0*(10*1)*0*10*)*,"positive example: [0, 010, 1010, 01010, 0010100], negative example: [1, 011, 1001, 01011, 10101]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0*1*(01)*0*1*(10)*0*1*)*,"positive example: [""01"", ""10"", ""0011"", ""0101"", ""1010"", ""000111"", ""001100"", ""010101"", ""101010"", ""0000111100""],  
negative example: [""0"", ""1"", ""00"", ""11"", ""001"", ""110"", ""0001"", ""1110"", ""00101"", ""11010""]"
Every b followed by two or more a's,(a|baa)*,"(a*(b*a{2,})*)*","positive example: [""aa"", ""baa"", ""aabaa"", ""aaaa"", ""baabaa"", ""aabaabaa""], negative example: [""b"", ""ab"", ""aab"", ""ba"", ""aba"", ""aaba""]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((01)*(0|1)+(10)*)*,"positive example: [""0101"", ""0110"", ""1010"", ""010110"", ""011010"", ""101010""],  
negative example: ["""", ""0"", ""1"", ""00"", ""11"", ""0011"", ""1100""]"
even prefix,(ab|ba)*,(ab|aabb|ba)*,"positive example: [ab, aabb, ba, abab, aabbaabb, baba, abba, abaabb],  
negative example: [aa, bb, aab, bba, abbaa, baaab, aabab, bbaa]"
even prefix,(ab|ba)*,(aa|ab|bb|ba)*,"positive example: [aa, ab, bb, ba, aaaa, abab, baba, bbaa, aabbaa],  
negative example: [a, b, aab, bba, abaab, bbaaab, aabba, abbaa]"
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,0*|0(1|0)*0|1*|1(1|0)*1?,"positive example: [""0"", ""00"", ""000"", ""1"", ""11"", ""111"", ""010"", ""0010"", ""101"", ""1101""],  
negative example: [""01"", ""10"", ""011"", ""100"", ""0011"", ""1100"", ""0101"", ""1010""]"
contains 'bab',(a|b)*(bab)(a|b)*,(a|b)*,"positive example: [a, b, aa, ab, ba, bb, aab, aba, baa, bbb], negative example: [c, ac, bc, abc, aac, bbc, abca, abba]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)(a|b)*(aa)(a)*,"positive example: [aaaa, bbaa, aabaa, bbaaa, aaaaa], negative example: [a, b, ab, ba, aba]"
contains 'bab',(a|b)*(bab)(a|b)*,(a|b|bab)*(a|b|bab)*,"positive example: [a, b, bab, abab, baba, aab, bba, babab], negative example: [c, aaab, bbba, abac, babbc, ababa, babbab]"
Three Choices (Regex),001|1010|110,0*10*(10)*,"positive example: [0, 1, 010, 00100, 1010, 00010010], negative example: [11, 0101, 100, 0011, 1010101, 000110]"
contains 'bab',(a|b)*(bab)(a|b)*,(a|b)*(bab)*(a|b)*,"positive example: [ab, bab, abab, aababba, babbab], negative example: [aaabbb, bbaa, abba, aabba, babaab]"
non isolated 'b',(a|(b*bb))*,(a*|bb*)*,"positive example: ["""", ""a"", ""aa"", ""b"", ""bb"", ""ab"", ""aab"", ""bba"", ""abba"", ""aaaabbbb""],  
negative example: [""c"", ""ac"", ""bc"", ""abc"", ""aac"", ""bbbc"", ""abca"", ""aabbc""]"
first and third,a(a|b)a(a|b)*,ab*|(a(a|b)a(a|b)*),"positive example: [ab, abb, aaba, aabab, aabaa], negative example: [a, b, aa, ba, abba]"
even prefix,(ab|ba)*,(ab|ba)*(aa|ab|ba|bb)*|(aabb|bbaa)*|(aa|ab|ba|bb)*,"positive example: [ababaa, babaab, aabbaa, bbaaab, aabb, bbaa, aaabba, bbaabba], negative example: [abba, baab, aabab, bbaaabab, aaa, bbb, abaabb, bbaaabb]"
Every b followed by two or more a's,(a|baa)*,a*(baa*|a*)*,"positive example: [""a"", ""ba"", ""aa"", ""baa"", ""aabaa"", ""aaa"", ""baaa"", ""aaba"", ""abaa"", ""baaaa""],  
negative example: [""b"", ""bb"", ""aba"", ""ab"", ""bab"", ""bba"", ""bbb"", ""aab"", ""baab"", ""abab""]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)(a|b)*(aaa)a*,"positive example: [abaaa, baaaaa, aabaaaa, bbaaaa], negative example: [aa, bbb, abba, aabba]"
even number of 1's,(0*10*10*)*|0*,(1|0|1)*,"positive example: [1, 0, 11, 01, 10, 00, 101, 010, 111, 000],  
negative example: [2, 3, 12, 20, 21, 30, 31, 102, 201, 1102]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a*b*)*aaa,"positive example: [aaa, aaaaaa, baaa, aabaaa, aabbaaa], negative example: [aa, aab, aabb, bbb, abab]"
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),((a|b)a*b((a?)|(bb?)))*|((a|b)a*ba)*,"positive example: [ ""aab"", ""baab"", ""abba"", ""aaba"", ""bab"", ""baaab"", ""abab"", ""baabb"", ""aabbb"", ""baaabb"" ], negative example: [ ""a"", ""b"", ""aa"", ""bb"", ""aba"", ""bba"", ""ababab"", ""baa"", ""abbb"", ""baabbaa"" ]"
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,(0+(1*0*1*)*0+)*,"positive example: [000, 010, 0010, 01010, 000100], negative example: [1, 11, 101, 1001, 11001]"
non isolated 'a',(b|(a*aa))*,(b*|ab)*aa(a|b)*|b*,"positive example: [aa, baa, abaa, bbaa, ababaa, bbbaa], negative example: [a, b, ab, ba, aba, bab, bbb]"
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,0+(0*1*0*)*0+|1,"positive example: [0, 000, 010, 00100, 111, 1], negative example: [01, 10, 0110, 101, 0001]"
Length 1 or More,(0|1)(0|1)*,(1|0)*,"positive example: [""0"", ""1"", ""01"", ""10"", ""0011"", ""1100"", ""1010"", ""0000"", ""1111"", """"], negative example: [""2"", ""a"", ""01a"", ""10b"", ""001c"", ""110d"", ""101e"", ""000f"", ""111g"", ""h""]"
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),((((a|b)(a*)ba)*)|((a|b)(a*)b))*,"positive example: [""ab"", ""aab"", ""ba"", ""aaab"", ""abab"", ""aabaab"", ""baab""], negative example: ["""", ""a"", ""b"", ""bb"", ""aba"", ""bab"", ""aabb""]"
At least one a followed by one b,a+b,(a*b)*,"positive example: [ab, aab, b, aaaab, abab], negative example: [aba, aaabbb, ba, aaba, bba]"
