shortdescription,regex,attemptregex
non isolated 'b',(a|(b*bb))*,(aabbaa)*(abba)*(bb)*(a)*(bb+b)*(a)*(bb)*(abba)*(aabbaa)*
Every b followed by two or more a's,(a|baa)*,((a|b)aa)*
Odd number of b's,(a*ba*b)*a*ba*,(a|bb)*b(a|bb)*a*
non isolated 'b',(a|(b*bb))*,(a?bba?|a?)*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0(0*1+0+)*|1(1*0+1+)*
Every b followed by two or more a's,(a|baa)*,(a)*(baa)*(a)*(baa)*(a)*
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1+0*1+)*|(0+1*0+)*|1*|0*
4 | #0,1*(01*01*01*01*)*,1*(0000)*
Every b followed by two or more a's,(a|baa)*,((b)(a{2})a*)|(a*(b)(a{2})a*)|(a*)
Odd number of 1s,0*10*(10*10*)*,0*(10*)
even number of 1's,(0*10*10*)*|0*,(0?10*10*)*|0
Odd number of 1s,0*10*(10*10*)*,0*(1)0*
Odd number of b's,(a*ba*b)*a*ba*,(a)*(bb)*(b)
Odd number of b's,(a*ba*b)*a*ba*,(ab)|(b)|(a*ba*ba*)*ba*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,((a|b)(a|b))+aaa(a)*
Odd number of b's,(a*ba*b)*a*ba*,(aa)*ba(bb)*
non isolated 'b',(a|(b*bb))*,(a*(bb)*a*)*a*
Odd number of b's,(a*ba*b)*a*ba*,a*(bb|a|bab)*b
even number of 1's,(0*10*10*)*|0*,0*
Every b followed by two or more a's,(a|baa)*,(baa)*
Contains aaa regex,(a|b)*aaa(a|b)*,(a|b)*aaa
Length 1 or More,(0|1)(0|1)*,(0|1)((0+|1)+)
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,((a|b)(a|b)|(aa|bb))+aaa
even prefix,(ab|ba)*,((ab)*|(ba)*)
first and third,a(a|b)a(a|b)*,(aaa|aba)b+(aaa|aba)a
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a*b*)(baa)+(a*b*)b+
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)+(ab*)+a+a+a
Length 2 and 3,(0|1)(0|1)|(0|1)(0|1)(0|1),(111)|(000)|(101)|(011)|(010)|(001)
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a+)(b+)(aaa)|(b+)(a+)(aaa)|(a+)(a+)(aaa)|(b+)(b+)(aaa)
Length 1 or More,(0|1)(0|1)*,(0|1)(01*)
non isolated 'a',(b|(a*aa))*,(b+aa)*
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a*b*)*(baa)+(a*b*)b
4 | #0,1*(01*01*01*01*)*,(1*01*01*01*0)*
non isolated 'b',(a|(b*bb))*,(abba)*(bb)*(a)*(bb+b)*(a)*(bb)*(abba)*
non isolated 'b',(a|(b*bb))*,a*(bb+|b+b)a*
Every b followed by two or more a's,(a|baa)*,(a+)*(baa)*
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a*b*)*(baa)a*b
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a|b)*baaa*b+
even number of 1's,(0*10*10*)*|0*,((10*)1)*0*
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),((((a|b)a*b)a)*)|((a|b)a*b)
At least one a followed by one b,a+b,a+a+a+b
Every b followed by two or more a's,(a|baa)*,b(aa)+
even number of 1's,(0*10*10*)*|0*,(00)*(11)*((01|10)(01|10))*
Odd number of b's,(a*ba*b)*a*ba*,a*b(ba*ba)*
non isolated 'b',(a|(b*bb))*,a*bb
Every b followed by two or more a's,(a|baa)*,a*(b(aa)+)
Length 1 or More,(0|1)(0|1)*,(0|1)01*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0*|1*|(1+0+1+)*|(0+1+0+)*
Contains baa and ends with b.,(a|b)*baa(a|b)*b,a*baa+a*b
Length 1 or More,(0|1)(0|1)*,0*1+0*|1*0+1
Odd number of b's,(a*ba*b)*a*ba*,a*(bab)*(a|bb)*b(a|bb)*a*(bab)*a*
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),((a|b)a*ba)*((a|b)a*b|(a|b)a*ba)
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),((a|b)a*b)|((a|b)a*ba)*
Odd number of b's,(a*ba*b)*a*ba*,a*b(a*ba*b)
Contains baa and ends with b.,(a|b)*baa(a|b)*b,"a*ba{2,}[ba]*b"
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a*b*(baa)a*b*(b))
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)
Every b followed by two or more a's,(a|baa)*,"(b{1}a{2,})"
Odd number of b's,(a*ba*b)*a*ba*,b((a*ba*)(a*ba*))*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,[ab][ab]*(a)(a)(a)[a]
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),((a|b)((a*b)|(a*ba)))?
Contains baa and ends with b.,(a|b)*baa(a|b)*b,a*b*baaa*bb*
Every b followed by two or more a's,(a|baa)*,a+(baa)*|a*
Odd number of 1s,0*10*(10*10*)*,0*10*(10*1)*0*
even number of 1's,0*(10*1)*0*,(101)*
Odd number of b's,(a*ba*b)*a*ba*,b(a*)(bb)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(aa*|bb*)(aa*|bb*)aaaa*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1+0*1+)|(0+1*0+)?
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),(a|b)a*ba
Every b followed by two or more a's,(a|baa)*,a*|((b)(aa))*
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,00(0|1)*00
even number of 1's,(0*10*10*)*|0*,(11|0|101)*
Odd number of b's,(a*ba*b)*a*ba*,b(bb)*a*
even prefix,(ab|ba)*,((ab)+|(ba)+)?
Every b followed by two or more a's,(a|baa)*,baa+
non isolated 'b',(a|(b*bb))*,(a|bb)*|(a|bbb)*
non isolated 'b',(a|(b*bb))*,(a*bb+a*)|a*
non isolated 'b',(a|(b*bb))*,(a+(bb))*a*
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),0+(1+0+)*|1+(0+1+)+
Every b followed by two or more a's,(a|baa)*,(a(b(aa)+)*)*
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a|b)*(baa)+(a|b)b+
even number of 1's,(0*10*10*)*|0*,0*|(10*1)+
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)
Every b followed by two or more a's,(a|baa)*,((a|b)aa+a*)*
An even number of 1's,(0|10*1)*,(10*1)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)(a|b)(aaa)a*
non isolated 'b',(a|(b*bb))*,(a|(bb)*)*
Contains baa and ends with b.,(a|b)*baa(a|b)*b,a*b*(baa)+a*b*b
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(01+)*(010)(1+0)*|(10+)*(101)(0+1)*|0*
Every b followed by two or more a's,(a|baa)*,[a]*([b]([a]{2}[a]*))?
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,0+(1+(0|1)*1+)*0+
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),((a|b)a*ba?)?
non isolated 'b',(a|(b*bb))*,(a)*(bbb)*(a)*
even number of 1's,(0*10*10*)*|0*,(11|0)*
non isolated 'b',(a|(b*bb))*,(a)*(a+bb)*(bb)*(a)*
Odd number of 1s,0*10*(10*10*)*,0*1((10*1)*|0)
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0|1|0(0|1)*0|1(0|1)*1
Contains baa and ends with b.,(a|b)*baa(a|b)*b,b*a*(baa)b*a*b
non isolated 'b',(a|(b*bb))*,a*|(bb)*|(bbb)*a*
first and third,a(a|b)a(a|b)*,(aaa)|(aba)(a|b)*
first and third,a(a|b)a(a|b)*,aba+a(a+b)*a(a+b)*
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),((a|b)a*b(a|(a(a|b)a*b)*))?
Odd number of 1s,0*10*(10*10*)*,0*(1|1)0*
Odd number of b's,(a*ba*b)*a*ba*,(a|bb)*b(a|bb)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,ab(a|b)*aaa
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0*|1*|(0+1+)*0|(1+0+)*1
Every b followed by two or more a's,(a|baa)*,(a*)|((a*b)aa+)
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)
non isolated 'b',(a|(b*bb))*,(a*|bb)*
An even number of 1's,(0|10*1)*,(0*(11)*0*)*
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,(a+)|((b+)*(a+))
Every b followed by two or more a's,(a|baa)*,(a|(baa+))+
An even number of 1's,(0|10*1)*,0*|(10*1)*|(11)*
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a|b)(baa)+(a|b)b
Odd number of b's,(a*ba*b)*a*ba*,a*b(a|bb)*
Length 1 or More,(0|1)(0|1)*,(0|1)|(10*1*|01*0*)
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0(0*1*)*0)*|(1(0*1*)*1)*
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,((a)+|(b)*|(a)*)
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a|b)*baa+b
even prefix,(ab|ba)*,((ab)+(ba))*
Contains baa and ends with b.,(a|b)*baa(a|b)*b,b*a*b+a+a+b+
even number of 1's,(0*10*10*)*|0*,0*((10*)1)*
Every b followed by two or more a's,(a|baa)*,"a*b?a{2,}"
An even number of 1's,(0|10*1)*,(0*|10+1)+
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((1+0+)*1+)|((0+1+)*0+)
non isolated 'b',(a|(b*bb))*,(bb)*(a)*(bb)*
Every b followed by two or more a's,(a|baa)*,(b(aa)+)*
non isolated 'a',(b|(a*aa))*,(b*(aaa)b*)*
Odd number of 1s,0*10*(10*10*)*,(0*)1(0*)
Odd number of b's,(a*ba*b)*a*ba*,(a)*(b)(bb)*(a)*
Every b followed by two or more a's,(a|baa)*,"a|(ba{2,})"
non isolated 'b',(a|(b*bb))*,((a*bb)+(bbb*a*))*
Every b followed by two or more a's,(a|baa)*,(b(aa)+)*a*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1+(0*1))*|(0+(1*0)*)*
even number of 1's,(0*10*10*)*|0*,0*|(0*|11)*|(0*10*1)0*
non isolated 'a',(b|(a*aa))*,(b*a*aa+b*|b*)
Odd number of 1s,0*10*(10*10*)*,(10*(11)*0*10*1)|1011
even prefix,(ab|ba)*,(ab)+
even number of 1's,(0*10*10*)*|0*,0*10*1
even number of 1's,(0*10*10*)*|0*,0*|(0*10*1)*
non isolated 'b',(a|(b*bb))*,((aa*bbb*a*)+(a*))*
non isolated 'b',(a|(b*bb))*,(a)*(bb+bbb)*(a)*
non isolated 'b',(a|(b*bb))*,a*(bb+|b+b)*a*(bb+|b+b)*a*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0|1(0|1)*1|0(0|1)*0
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,1(0*1*)*1|0(0*1*)*0
Odd number of b's,(a*ba*b)*a*ba*,((a*(bb))*((a)*b)(a)*)
even number of 1's,(0*10*10*)*|0*,(0)*11
An even number of 1's,(0|10*1)*,0|(0*10*10*)*
Odd number of b's,(a*ba*b)*a*ba*,a*(ba*ba*ba*)
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,(a+|b*)a+
non isolated 'b',(a|(b*bb))*,(a?)*(bb|bbb|abb)*(a?)*
non isolated 'b',(a|(b*bb))*,(a+abb+bba+a)*
even number of 1's,(0*10*10*)*|0*,0*10*1(11)*0*
Odd number of 1s,0*10*(10*10*)*,0*(1|1|1)0*
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,(a*|(b(b)*a(a)*))
Contains baa and ends with b.,(a|b)*baa(a|b)*b,a*b*(baa)+a*b+
Every b followed by two or more a's,(a|baa)*,"a*(ba{3,})*"
Contains baa and ends with b.,(a|b)*baa(a|b)*b,b*a*baab*a*b*b
Every b followed by two or more a's,(a|baa)*,([a]*[b][a]*(aa))*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)(a|b)(ab*)aaaa*
An even number of 1's,(0|10*1)*,(0*)|(10*1)*|(110*)*|(0*11)*
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)
Odd number of b's,(a*ba*b)*a*ba*,(a)*b(a|bb)*
non isolated 'b',(a|(b*bb))*,(a+bb*b)*
first and third,a(a|b)a(a|b)*,(aaaa|aaab|abaa|abab)(a+b)*
Length 1 or More,(0|1)(0|1)*,(0|1)(0|1)0*1*
Odd number of 1s,0*10*(10*10*)*,0*1(11)*0+
Length 1 or More,(0|1)(0|1)*,(0|1)|(0|1)(0|1)
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(ab+)aaa+
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(aa|ab|ba|bb)a*b*(aaa)a*
non isolated 'b',(a|(b*bb))*,a*(bb)*
Odd number of b's,(a*ba*b)*a*ba*,(bb)*(b)
non isolated 'b',(a|(b*bb))*,((a*bbb*a*)+(a*))*
non isolated 'b',(a|(b*bb))*,(bbb*a*)*|a*
contains 'bab',(a|b)*(bab)(a|b)*,((ab)*)*bab((ab)*)*
Odd number of 1s,0*10*(10*10*)*,0*1(0*10*1)*0
even number of 1's,(0*10*10*)*|0*,0*(11)*(0*10*1(0*|11)*)0*
Odd number of b's,(a*ba*b)*a*ba*,(aa)*b(bb)*
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)
first and third,a(a|b)a(a|b)*,(aaa)*(aba+aaa)(a+b)*
Odd number of 1s,0*10*(10*10*)*,0*1(11)*0
first and third,a(a|b)a(a|b)*,(aba(a+b)*)+(aaa(a+b)*)
At least one a followed by one b,a+b,ab
Odd number of b's,(a*ba*b)*a*ba*,(a)*(bb)*(b)(a)*(bb)*(a)*
non isolated 'b',(a|(b*bb))*,(bb)*
Every b followed by two or more a's,(a|baa)*,(a)*(baa)*
Length 1 or More,(0|1)(0|1)*,0*1+0*1*0*|1*0+1*0*1*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(aa|ab|ba|bb)a*b*aaaa*
Every b followed by two or more a's,(a|baa)*,a*|a*baa+|baa+
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)
Odd number of 1s,0*10*(10*10*)*,0*1(0*(11)*0*)*
Length 2 and 3,(0|1)(0|1)|(0|1)(0|1)(0|1),(11)|(110)|(100)|(10)|(01)|(111)|(000)|(101)|(011)|(010)|(001)
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(010)*|(101)*
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),((a|b)a*b)|((a|b)a*ba)?
non isolated 'b',(a|(b*bb))*,(a*bbb*)*
even number of 1's,(0*10*10*)*|0*,0*(((10*)1)*)
Odd number of b's,(a*ba*b)*a*ba*,(a*ba*ba*b)|b
non isolated 'b',(a|(b*bb))*,a*bba*
non isolated 'a',(b|(a*aa))*,(b+(aa))*
first and third,a(a|b)a(a|b)*,(aba)*(aaa+aba)(a+b)*(aba)*
Length 2 and 3,(0|1)(0|1)|(0|1)(0|1)(0|1),00|01|10|11
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),(((a|b)a*b)(a(a|b)a*b)*)?
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((1+|0+)|(1+0+1(1|(0+1))*)|(0+1+0(0|(1+0))*))
Every b followed by two or more a's,(a|baa)*,a|baa
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0+(1+0)*)|(1+(0+1)*)
Contains baa and ends with b.,(a|b)*baa(a|b)*b,a*b+a+a+b+
non isolated 'b',(a|(b*bb))*,(a|bb)*(a|bbb)*(a|bb)*
Odd number of b's,(a*ba*b)*a*ba*,a*b(a*bb)*a*
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)|(011001)|(011010)|(011111)|(011100)|(010101)|(010110)
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1(0*1+))*|(0(1*0+))*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0+(1+0+)*|1+(0+1+)*
non isolated 'b',(a|(b*bb))*,(a*(bbb*)*)
non isolated 'a',(b|(a*aa))*,b*(aa)*b*
non isolated 'b',(a|(b*bb))*,a*(a+bb)*a*
An even number of 1's,(0|10*1)*,(11)*
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),((a|b)a*ba)*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0*|1*|(0+1*0+)*|(1+0*1+)(01)*
non isolated 'b',(a|(b*bb))*,((bb)|a)*
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)
even prefix,(ab|ba)*,(ab)*(ba)*(ab)*
Odd number of b's,(a*ba*b)*a*ba*,((a)*|(bb)*|(a)*)b((a)*|(bb)*|(a)*)
Every b followed by two or more a's,(a|baa)*,a+(baa)*
Odd number of b's,(a*ba*b)*a*ba*,(a*b(a*bb)*a*|a*(a*bb)*a*b)
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(011*0)*|(100*1)*
Contains baa and ends with b.,(a|b)*baa(a|b)*b,baa(b)
non isolated 'b',(a|(b*bb))*,(a*(bb)b*)*
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)|(011001)|(011010)|(011111)|(011100)|(010101)|(010110)|(010011)|(010000)|(101001)|(1010001)|(1010010)|(1010111)|(1010100)|(1011101)|(1011110)|(1011011)|(1011000)|(1001001)|(1001010)|(1001111)|(1001100)|(1000101)|(1000110)
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(aa|bb|ab|ba)+aaa
Odd number of 1s,0*10*(10*10*)*,0*1(11)+
3 | #b,a*(ba*ba*ba*)*,((ba*)(ba*)(ba*))*
Length 1 or More,(0|1)(0|1)*,0|1
Odd number of b's,(a*ba*b)*a*ba*,a*(bb)*a*b(bb)*a*
even number of 1's,(0*10*10*)*|0*,(0)*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((01)*0)*
non isolated 'b',(a|(b*bb))*,(a|bb)*(a|bb)*
Odd number of 1s,0*10*(10*10*)*,[1]{3}
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)|(011001)|(011010)|(011111)|(011100)|(010101)|(010110)|(010011)|(010000)
Odd number of b's,(a*ba*b)*a*ba*,(b(a*)(bb)*)|(a*b{1}a*)|(b{1}a*)|(a*b{1})|(a*b(bb)*)
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)(a|b)aaa
Odd number of 1s,0*10*(10*10*)*,(0*10*|(10*1)*1|1(10*1)*)
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((01)*0)*|(101)*1*
Every b followed by two or more a's,(a|baa)*,a*b(aa)+
non isolated 'b',(a|(b*bb))*,(a*(bb+bbb)a*)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(aa|bb|ab|ba)+(a+a+a+)
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,0+(1*0*)(0*1*)0+
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)
Odd number of b's,(a*ba*b)*a*ba*,(a|(bb))*b[a]*
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a|b)*baa(a*b+)
An even number of 1's,(0|10*1)*,(0|(11))*
non isolated 'b',(a|(b*bb))*,(a|bbb)*
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),1+(0+1)+1*
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1+0*1+)|(0+1*0+)
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1(0|1)*1)|(0(0|1)*0)
non isolated 'a',(b|(a*aa))*,b*(aaa*)*b*
first and third,a(a|b)a(a|b)*,(aaa)|(aba)(a+b)*
3 | #b,a*(ba*ba*ba*)*,a*(ba*ba*b)*a*
Odd number of 1s,0*10*(10*10*)*,0*10*(11)*11
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,0+(0*1*0*1*)0+
Every b followed by two or more a's,(a|baa)*,a*(ba{2}a*)
contains 'bab',(a|b)*(bab)(a|b)*,aaaabab
An even number of 1's,(0|10*1)*,((0*10*1)*)|0*
non isolated 'b',(a|(b*bb))*,(a*bb+a*)*
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,"b{0,}a{1,}"
even number of 1's,(0*10*10*)*|0*,(0?10*10*)*|0*
3 | #b,a*(ba*ba*ba*)*,((a*)b(a*)b(a*)b(a*))*
non isolated 'b',(a|(b*bb))*,(bb)*a
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1+(0+1+)*)|(0+(1+0+)*)
Odd number of b's,(a*ba*b)*a*ba*,(a*b{1}a*)|(b{1}a*)|(a*b{1})|(a*b(bb)*)
Odd number of b's,(a*ba*b)*a*ba*,(bb)*b
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a|b)*baa+b*b
Odd number of b's,(a*ba*b)*a*ba*,a*b(a|(bb))*
Length 1 or More,(0|1)(0|1)*,(0|1)((0+)(1+))
Every b followed by two or more a's,(a|baa)*,a+(baa)*|a+
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a|b)*(baa)b
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0*0(1+0)+0*)+
Length 2 and 3,(0|1)(0|1)|(0|1)(0|1)(0|1),(110)|(100)|(10)|(01)|(111)|(000)|(101)|(011)|(010)|(001)
non isolated 'b',(a|(b*bb))*,a*(bb+)*a*|a*|(bb+)*a*(bb+)*|(bb+)*a*(bb+)a*|a*(bb+)*a*(bb+)*|a*(bb+)*a*(bb+)*a*
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),(((a|b)a*ba)*)|((a|b)a*b)|((a|b)aaa*b)
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,(a+)|(b+a+)
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,(b*a+)?
even number of 1's,(0*10*10*)*|0*,0*|(0*|11)*|(0*10*1(0*|11)*)0*
Odd number of b's,(a*ba*b)*a*ba*,(b)(a|bb)*
Every b followed by two or more a's,(a|baa)*,(a)+(baa)+|(a)+
